in s,C1 in V
1.31E+00,-2.37E+00
1.31E+00,-2.39E+00
1.31E+00,-2.39E+00
1.31E+00,-2.35E+00
1.31E+00,-2.43E+00
1.31E+00,-2.39E+00
1.31E+00,-2.35E+00
1.31E+00,-2.51E+00
1.31E+00,-2.43E+00
1.31E+00,-2.29E+00
1.31E+00,-2.55E+00
1.31E+00,-2.37E+00
1.31E+00,-2.28E+00
1.31E+00,-2.43E+00
1.31E+00,-2.39E+00
1.31E+00,-2.45E+00
1.31E+00,-2.37E+00
1.31E+00,-2.29E+00
1.31E+00,-2.61E+00
1.31E+00,-2.35E+00
1.31E+00,-2.33E+00
1.31E+00,-2.55E+00
1.31E+00,-2.28E+00
1.31E+00,-2.41E+00
1.31E+00,-2.47E+00
1.31E+00,-2.31E+00
1.31E+00,-2.35E+00
1.31E+00,-2.43E+00
1.31E+00,-2.31E+00
1.31E+00,-2.39E+00
1.31E+00,-2.43E+00
1.31E+00,-2.33E+00
1.31E+00,-2.49E+00
1.31E+00,-2.29E+00
1.31E+00,-2.33E+00
1.31E+00,-2.51E+00
1.31E+00,-2.28E+00
1.31E+00,-2.33E+00
1.31E+00,-2.39E+00
1.31E+00,-2.35E+00
1.31E+00,-2.31E+00
1.31E+00,-2.45E+00
1.31E+00,-2.33E+00
1.31E+00,-2.41E+00
1.31E+00,-2.29E+00
1.31E+00,-2.28E+00
1.31E+00,-2.51E+00
1.31E+00,-2.35E+00
1.31E+00,-2.31E+00
1.31E+00,-2.43E+00
1.31E+00,-2.41E+00
1.31E+00,-2.31E+00
1.31E+00,-2.37E+00
1.31E+00,-2.26E+00
1.31E+00,-2.37E+00
1.31E+00,-2.39E+00
1.31E+00,-2.29E+00
1.31E+00,-2.43E+00
1.31E+00,-2.37E+00
1.31E+00,-2.31E+00
1.31E+00,-2.45E+00
1.31E+00,-2.29E+00
1.31E+00,-2.28E+00
1.31E+00,-2.39E+00
1.31E+00,-2.29E+00
1.31E+00,-2.29E+00
1.31E+00,-2.35E+00
1.31E+00,-2.28E+00
1.31E+00,-2.37E+00
1.31E+00,-2.37E+00
1.31E+00,-2.26E+00
1.31E+00,-2.45E+00
1.31E+00,-2.31E+00
1.31E+00,-2.29E+00
1.31E+00,-2.41E+00
1.31E+00,-2.26E+00
1.31E+00,-2.22E+00
1.31E+00,-2.33E+00
1.31E+00,-2.26E+00
1.31E+00,-2.39E+00
1.31E+00,-2.33E+00
1.31E+00,-2.29E+00
1.31E+00,-2.37E+00
1.31E+00,-2.39E+00
1.31E+00,-2.29E+00
1.31E+00,-2.41E+00
1.31E+00,-2.24E+00
1.31E+00,-2.28E+00
1.31E+00,-2.37E+00
1.31E+00,-2.28E+00
1.31E+00,-2.33E+00
1.31E+00,-2.29E+00
1.31E+00,-2.28E+00
1.31E+00,-2.39E+00
1.31E+00,-2.29E+00
1.31E+00,-2.22E+00
1.31E+00,-2.45E+00
1.31E+00,-2.24E+00
1.31E+00,-2.26E+00
1.31E+00,-2.39E+00
1.31E+00,-2.22E+00
1.31E+00,-2.29E+00
1.31E+00,-2.29E+00
1.31E+00,-2.26E+00
1.31E+00,-2.31E+00
1.31E+00,-2.31E+00
1.31E+00,-2.20E+00
1.31E+00,-2.45E+00
1.31E+00,-2.18E+00
1.31E+00,-2.18E+00
1.31E+00,-2.37E+00
1.31E+00,-2.26E+00
1.31E+00,-2.16E+00
1.31E+00,-2.33E+00
1.31E+00,-2.22E+00
1.31E+00,-2.35E+00
1.31E+00,-2.22E+00
1.31E+00,-2.20E+00
1.31E+00,-2.33E+00
1.31E+00,-2.22E+00
1.31E+00,-2.20E+00
1.31E+00,-2.41E+00
1.31E+00,-2.22E+00
1.31E+00,-2.22E+00
1.31E+00,-2.31E+00
1.31E+00,-2.20E+00
1.31E+00,-2.29E+00
1.31E+00,-2.26E+00
1.31E+00,-2.18E+00
1.31E+00,-2.29E+00
1.31E+00,-2.24E+00
1.31E+00,-2.14E+00
1.31E+00,-2.33E+00
1.31E+00,-2.24E+00
1.31E+00,-2.22E+00
1.31E+00,-2.35E+00
1.31E+00,-2.18E+00
1.31E+00,-2.14E+00
1.31E+00,-2.29E+00
1.31E+00,-2.16E+00
1.31E+00,-2.16E+00
1.31E+00,-2.18E+00
1.31E+00,-2.10E+00
1.31E+00,-2.28E+00
1.31E+00,-2.18E+00
1.31E+00,-2.16E+00
1.31E+00,-2.43E+00
1.31E+00,-2.20E+00
1.31E+00,-2.16E+00
1.31E+00,-2.29E+00
1.31E+00,-2.12E+00
1.31E+00,-2.08E+00
1.31E+00,-2.22E+00
1.31E+00,-2.10E+00
1.31E+00,-2.20E+00
1.31E+00,-2.12E+00
1.31E+00,-2.10E+00
1.31E+00,-2.33E+00
1.31E+00,-2.14E+00
1.31E+00,-2.08E+00
1.31E+00,-2.33E+00
1.31E+00,-2.18E+00
1.31E+00,-2.12E+00
1.31E+00,-2.18E+00
1.31E+00,-2.04E+00
1.31E+00,-2.10E+00
1.31E+00,-2.14E+00
1.31E+00,-2.14E+00
1.31E+00,-2.28E+00
1.31E+00,-2.14E+00
1.31E+00,-2.08E+00
1.31E+00,-2.22E+00
1.31E+00,-2.08E+00
1.31E+00,-2.10E+00
1.31E+00,-2.14E+00
1.31E+00,-2.08E+00
1.31E+00,-2.08E+00
1.31E+00,-2.14E+00
1.31E+00,-2.10E+00
1.31E+00,-2.18E+00
1.31E+00,-2.08E+00
1.31E+00,-2.12E+00
1.31E+00,-2.29E+00
1.31E+00,-2.08E+00
1.31E+00,-2.04E+00
1.31E+00,-2.22E+00
1.31E+00,-2.08E+00
1.31E+00,-2.08E+00
1.31E+00,-2.14E+00
1.31E+00,-2.10E+00
1.31E+00,-2.06E+00
1.31E+00,-2.08E+00
1.31E+00,-2.08E+00
1.31E+00,-2.18E+00
1.31E+00,-2.10E+00
1.31E+00,-2.06E+00
1.31E+00,-2.20E+00
1.31E+00,-2.02E+00
1.31E+00,-2.04E+00
1.31E+00,-2.24E+00
1.31E+00,-2.06E+00
1.31E+00,-2.00E+00
1.31E+00,-2.14E+00
1.31E+00,-2.04E+00
1.31E+00,-2.08E+00
1.31E+00,-2.08E+00
1.31E+00,-2.04E+00
1.31E+00,-2.22E+00
1.31E+00,-2.00E+00
1.31E+00,-2.08E+00
1.31E+00,-2.22E+00
1.31E+00,-2.06E+00
1.31E+00,-2.04E+00
1.31E+00,-2.12E+00
1.31E+00,-1.98E+00
1.31E+00,-2.02E+00
1.31E+00,-2.02E+00
1.31E+00,-1.94E+00
1.31E+00,-2.16E+00
1.31E+00,-1.96E+00
1.31E+00,-1.96E+00
1.31E+00,-2.18E+00
1.31E+00,-2.04E+00
1.31E+00,-1.88E+00
1.31E+00,-2.04E+00
1.31E+00,-1.98E+00
1.31E+00,-1.92E+00
1.31E+00,-2.08E+00
1.31E+00,-1.96E+00
1.31E+00,-2.04E+00
1.31E+00,-2.00E+00
1.31E+00,-1.94E+00
1.31E+00,-2.16E+00
1.31E+00,-1.96E+00
1.31E+00,-1.98E+00
1.31E+00,-2.12E+00
1.31E+00,-1.88E+00
1.31E+00,-1.92E+00
1.31E+00,-2.04E+00
1.31E+00,-1.83E+00
1.31E+00,-1.96E+00
1.31E+00,-1.92E+00
1.31E+00,-1.88E+00
1.31E+00,-2.06E+00
1.31E+00,-1.94E+00
1.31E+00,-1.92E+00
1.31E+00,-2.10E+00
1.31E+00,-1.87E+00
1.31E+00,-1.90E+00
1.31E+00,-2.00E+00
1.31E+00,-1.92E+00
1.31E+00,-1.90E+00
1.31E+00,-1.88E+00
1.31E+00,-1.87E+00
1.31E+00,-1.90E+00
1.31E+00,-1.88E+00
1.31E+00,-1.83E+00
1.31E+00,-2.08E+00
1.31E+00,-1.87E+00
1.31E+00,-1.87E+00
1.31E+00,-2.04E+00
1.31E+00,-1.81E+00
1.31E+00,-1.94E+00
1.31E+00,-1.92E+00
